dataset,regime,seed,method,rmse,mae,r2,mean_residual,residual_std,preprocessing_fit_scope
sine_extrapolation,extrapolation,17,mean,0.7216911917016501,0.6562595931895613,0.0,-1.6653345369377348e-16,0.7216911917016501,training_only
sine_extrapolation,extrapolation,17,linear,1.8808119221997062,1.8301941919828022,-5.791847542042949,-2.220446049250313e-16,1.8808119221997062,training_only
sine_extrapolation,extrapolation,17,rbf_svr,0.5405725938642663,0.4964163463014768,0.43894525670043727,-0.0002128936483781374,0.5405725519423229,training_only
sine_extrapolation,extrapolation,17,muta_regressor,1.3799278047149508,1.3553050905095347,-2.6560314380032297,0.17045199142495215,1.3693600201717193,training_only
sine_extrapolation,extrapolation,37,mean,0.7216911917016501,0.6562595931895613,0.0,-1.6653345369377348e-16,0.7216911917016501,training_only
sine_extrapolation,extrapolation,37,linear,1.8808119221997062,1.8301941919828022,-5.791847542042949,-2.220446049250313e-16,1.8808119221997062,training_only
sine_extrapolation,extrapolation,37,rbf_svr,0.5405725938642663,0.4964163463014768,0.43894525670043727,-0.0002128936483781374,0.5405725519423229,training_only
sine_extrapolation,extrapolation,37,muta_regressor,1.376941220167347,1.3532786595269939,-2.640223029929396,0.16190179238921337,1.3673898249647403,training_only
sine_extrapolation,extrapolation,67,mean,0.7216911917016501,0.6562595931895613,0.0,-1.6653345369377348e-16,0.7216911917016501,training_only
sine_extrapolation,extrapolation,67,linear,1.8808119221997062,1.8301941919828022,-5.791847542042949,-2.220446049250313e-16,1.8808119221997062,training_only
sine_extrapolation,extrapolation,67,rbf_svr,0.5405725938642663,0.4964163463014768,0.43894525670043727,-0.0002128936483781374,0.5405725519423229,training_only
sine_extrapolation,extrapolation,67,muta_regressor,1.3796067660277644,1.3542511524651173,-2.6543304924958653,0.1757578628979069,1.3683654491761865,training_only
diabetes_bmi,held_out_interpolation,3,mean,72.83657007791199,61.90683432677391,-0.003311160477942554,-4.184290030211489,72.71628192954903,training_only
diabetes_bmi,held_out_interpolation,3,linear,61.98087350199706,50.229081842077015,0.2734725035560759,-6.560644122115099,61.632675009069,training_only
diabetes_bmi,held_out_interpolation,3,rbf_svr,62.125607707268486,49.647040531434904,0.2700754506283316,2.7252992700545153,62.065802797402505,training_only
diabetes_bmi,held_out_interpolation,3,muta_regressor,162.93869368774799,145.82416608769674,-4.020941146259935,145.82416608769674,72.69340056358352,training_only
diabetes_bmi,held_out_interpolation,17,mean,74.8465845028302,65.19215590212569,-0.0021352227239133104,3.454859693530381,74.7668051760761,training_only
diabetes_bmi,held_out_interpolation,17,linear,57.736164144399645,46.69225291660149,0.40368160410336695,7.799929576850724,57.20686802041541,training_only
diabetes_bmi,held_out_interpolation,17,rbf_svr,59.31821670882007,46.50087197217925,0.3705539308199669,14.462281515930286,57.528195233889626,training_only
diabetes_bmi,held_out_interpolation,17,muta_regressor,169.16770773295318,151.82953330218095,-4.119378995770864,151.82953330218095,74.60232005014193,training_only
diabetes_bmi,held_out_interpolation,37,mean,79.04799672595736,67.7833210854359,-0.005819726894598087,-6.012873901091417,78.81897699054802,training_only
diabetes_bmi,held_out_interpolation,37,linear,62.476887510817605,52.9830118679285,0.371685353294403,-3.3981110899497975,62.384407619690656,training_only
diabetes_bmi,held_out_interpolation,37,rbf_svr,62.44456663596682,50.54271691411334,0.3723352712731577,3.0372328645420263,62.37065911853302,training_only
diabetes_bmi,held_out_interpolation,37,muta_regressor,164.98450026761168,144.87758084284883,-3.381519044983551,144.87758084284883,78.93270486735747,training_only
diabetes_bmi,held_out_interpolation,67,mean,71.23103863799382,61.292153180370704,-0.0031124260731889564,-3.967747203396751,71.12044605862161,training_only
diabetes_bmi,held_out_interpolation,67,linear,58.04424651449827,48.76474842074913,0.33391537030922225,0.8775946515690961,58.03761177946059,training_only
diabetes_bmi,held_out_interpolation,67,rbf_svr,58.51836257744406,47.93844082923122,0.3229895265517797,11.30735681026495,57.41552438766505,training_only
diabetes_bmi,held_out_interpolation,67,muta_regressor,162.58923580321337,146.20292734936095,-4.226303616420217,146.20292734936095,71.1334213541737,training_only
