seed,dataset_size,parameter_scale,regularization_C,feature_map,gram_symmetry_error,minimum_eigenvalue,condition_number,kernel_target_alignment,effective_rank,test_accuracy,axis_support
43,126,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.281428547500366e-14,1199637116773.772,0.0006419627561142236,1.2414859136985616,0.5555555555555556,supported
43,126,1.0,0.1,fixed Eq.5 MuTAKernel,5.551115123125783e-16,-4.043229768293877e-14,1149577629991.053,0.011316239737630579,1.4342674511807283,0.6111111111111112,supported
43,126,1.0,1.0,fixed Eq.5 MuTAKernel,5.551115123125783e-16,-4.043229768293877e-14,1149577629991.053,0.011316239737630579,1.4342674511807283,0.6666666666666666,supported
43,126,1.0,10.0,fixed Eq.5 MuTAKernel,5.551115123125783e-16,-4.043229768293877e-14,1149577629991.053,0.011316239737630579,1.4342674511807283,0.6481481481481481,supported
43,126,2.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.5404577030278737e-14,1151695805273.2324,0.01764904140744533,1.4276186070966939,0.7407407407407407,supported
43,126,2.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.5404577030278737e-14,1151695805273.2324,0.01764904140744533,1.4276186070966939,0.7037037037037037,supported
43,126,2.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.5404577030278737e-14,1151695805273.2324,0.01764904140744533,1.4276186070966939,0.7407407407407407,supported
71,40,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-9.445592363075392e-15,383378517824.695,0.09006940146319171,1.209692017283755,0.5,supported
71,40,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-9.445592363075392e-15,383378517824.695,0.09006940146319171,1.209692017283755,0.5,supported
71,40,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-9.445592363075392e-15,383378517824.695,0.09006940146319171,1.209692017283755,0.5,supported
71,40,1.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-7.071641391832924e-15,366472933635.11035,0.10175267487921215,1.4150496926681808,0.5,supported
71,40,1.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-7.071641391832924e-15,366472933635.11035,0.10175267487921215,1.4150496926681808,0.5,supported
71,40,1.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-7.071641391832924e-15,366472933635.11035,0.10175267487921215,1.4150496926681808,0.7962962962962963,supported
71,40,2.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-6.824106250415599e-15,359079524918.83856,0.09331773322990887,1.4932857682446183,0.5,supported
71,40,2.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-6.824106250415599e-15,359079524918.83856,0.09331773322990887,1.4932857682446183,0.5,supported
71,40,2.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-6.824106250415599e-15,359079524918.83856,0.09331773322990887,1.4932857682446183,0.5,supported
71,80,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.294979821158495e-14,766398888369.6764,0.03055622163759904,1.2136634228702592,0.5,supported
71,80,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.294979821158495e-14,766398888369.6764,0.03055622163759904,1.2136634228702592,0.5,supported
71,80,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.294979821158495e-14,766398888369.6764,0.03055622163759904,1.2136634228702592,0.5,supported
71,80,1.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.1771297699281736e-14,734283925828.2659,0.0370287766188315,1.4097923000250945,0.5,supported
71,80,1.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.1771297699281736e-14,734283925828.2659,0.0370287766188315,1.4097923000250945,0.7592592592592593,supported
71,80,1.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.1771297699281736e-14,734283925828.2659,0.0370287766188315,1.4097923000250945,0.7592592592592593,supported
71,80,2.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.767490837596855e-14,726044019837.805,0.042836424388176135,1.452319524726759,0.5,supported
71,80,2.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.767490837596855e-14,726044019837.805,0.042836424388176135,1.452319524726759,0.7592592592592593,supported
71,80,2.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.767490837596855e-14,726044019837.805,0.042836424388176135,1.452319524726759,0.7407407407407407,supported
71,126,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.1484725100339496e-14,1207288333381.706,0.0002431763521309398,1.2142944490751968,0.6481481481481481,supported
71,126,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.1484725100339496e-14,1207288333381.706,0.0002431763521309398,1.2142944490751968,0.6481481481481481,supported
71,126,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.1484725100339496e-14,1207288333381.706,0.0002431763521309398,1.2142944490751968,0.6296296296296297,supported
71,126,1.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.446654898010717e-14,1156382808475.6118,0.008589251781477184,1.4112849066113657,0.6481481481481481,supported
71,126,1.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.446654898010717e-14,1156382808475.6118,0.008589251781477184,1.4112849066113657,0.7037037037037037,supported
71,126,1.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.446654898010717e-14,1156382808475.6118,0.008589251781477184,1.4112849066113657,0.7222222222222222,supported
71,126,2.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.5668978107571694e-14,1150444710257.6208,0.01934045367539264,1.4293684435822056,0.7222222222222222,supported
71,126,2.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.5668978107571694e-14,1150444710257.6208,0.01934045367539264,1.4293684435822056,0.7407407407407407,supported
71,126,2.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.5668978107571694e-14,1150444710257.6208,0.01934045367539264,1.4293684435822056,0.7407407407407407,supported
,,,,fixed Eq.5 MuTAKernel,,,,,,,unsupported: ansatz_depth is not parameterized by MuTAKernel
,,,,fixed Eq.5 MuTAKernel,,,,,,,unsupported: triangle_count is not parameterized by MuTAKernel
,,,,fixed Eq.5 MuTAKernel,,,,,,,unsupported: shot_count is not parameterized by MuTAKernel
,,,,fixed Eq.5 MuTAKernel,,,,,,,unsupported: physical_noise is not parameterized by MuTAKernel
