trial,theta,phi,lam,c0,full_sequence_error,c0_error,c1_error,c2_error,c3_error
23,-6.098380428616966,4.569636144264921,6.0468752112650925,5.7454725656490915,5.416005609232033e-16,4.965068306494546e-16,3.888257972851056e-16,4.440892098500626e-16,1.716587549445839e-16
24,-4.413761595386956,5.9392288375242135,4.9000747089001635,4.051068993275733,7.468261590855957e-16,5.661048867003676e-16,4.002966042486721e-16,4.855242786854203e-16,8.599750569898517e-16
25,-0.25147916619357424,-3.363101078251393,3.7935432334514854,5.322236954197836,4.996003610813204e-16,3.510833468576701e-16,4.775249788392736e-16,4.726604209672303e-16,3.3306690738754696e-16
26,-2.9388936738543157,0.4892641958309314,-0.7193891677296413,5.416323333825549,7.2377686124476805e-16,3.510833468576701e-16,6.958295682269841e-16,3.510833468576701e-16,6.304854800243424e-16
27,-5.77411269653445,2.91547583944787,1.437256609528716,-5.926735616551467,5.201856949075077e-16,3.3537189618722464e-16,2.220446049250313e-16,4.726604209672303e-16,5.324442579404919e-16
28,2.7547969113364434,-6.082227307221792,3.241507895956312,0.16033084507731843,6.206335383118183e-16,3.1646225226420963e-16,5.102800490722269e-16,4.746933783963145e-16,5.223102302487019e-16
29,5.392282670720988,-5.452768162222688,4.289119432694065,-5.445133940737327,3.336446474703022e-16,3.925231146709438e-16,3.885780586188048e-16,5.266250202865052e-16,2.9373740229761033e-16
30,-1.9564585073047978,-0.8758919666343195,5.8567088364320306,0.7820283934571188,2.9110293291727306e-16,5.266250202865052e-16,4.440892098500626e-16,4.965068306494546e-16,2.7194799110210365e-16
31,-3.030196890458341,-3.2461987153801406,4.877238659625949,-3.4448263592340185,7.239098962355515e-16,4.775249788392736e-16,7.16892185520064e-16,4.714364385389477e-16,5.874748045952207e-16
32,-4.717984711890929,-2.6599141551036283,1.0822543508812759,0.6797212970260835,2.618455766672135e-16,3.510833468576701e-16,2.7194799110210365e-16,4.965068306494546e-16,5.661048867003676e-16
33,3.8919403933807093,0.7599632261659295,-2.658777433593437,-1.0945768397380409,7.005190574351762e-16,5.661048867003676e-16,3.236828524569469e-16,4.965068306494546e-16,5.266250202865052e-16
34,3.997626021420256,1.5897270918781237,5.768939798902418,-1.6411125708224326,5.571892919244074e-16,4.440892098500626e-16,4.2998752849492583e-16,6.661338147750939e-16,3.597533769998862e-16
35,0.6611357397917521,1.1802863271288642,4.376756404907365,-4.455110911745496,5.688200336284365e-16,4.440892098500626e-16,3.7238012298709097e-16,4.440892098500626e-16,6.473657049138938e-16
36,-1.174825757034676,5.151696248926287,-5.741990824224224,4.055246716341983,3.546311116759026e-16,3.510833468576701e-16,4.965068306494546e-16,4.440892098500626e-16,5.117875266520903e-16
37,-1.063315546283956,4.144439109097295,-6.158092606771981,-1.695879997441331,5.613217783960923e-16,5.661048867003676e-16,3.510833468576701e-16,4.965068306494546e-16,4.777265937854909e-16
38,-5.29509111873532,1.9178113273996082,-2.8418960417693633,2.546601025678177,7.032629733738598e-16,4.965068306494546e-16,6.497413668604471e-16,4.440892098500626e-16,6.389813363550566e-16
39,5.576973210135758,-4.6895545999256605,4.583939252080317,-5.5359367399012935,6.730369402342474e-16,4.965068306494546e-16,6.591583993652515e-16,4.440892098500626e-16,4.002966042486721e-16
